i,w,j1,j2,factor_e,exact_e_0,factor_c,calc_e_0,rad
109,109,0.9455185755993168,-0.3255681544571566,4.49923810804794,-27.26454873130137,4.489024943310657,-27.25472756879422,0.6055555555555555
110,110,0.9396926207859084,-0.3420201433256687,4.516995399419772,-27.307973512153065,4.534104308390022,-27.2943852640358,0.6111111111111112
111,111,0.9335804264972016,-0.3583679495453002,4.534672704392391,-27.343854026923516,4.552925170068026,-27.33631313658209,0.6166666666666667
112,112,0.9271838545667874,-0.374606593415912,4.552283090228462,-27.3721731746601,4.510521541950113,-27.360881726514798,0.6222222222222222
113,113,0.9205048534524404,-0.3907311284892737,4.569839223863031,-27.39291709968207,4.551156462585033,-27.383952566396403,0.6277777777777778
114,114,0.9135454576426008,-0.4067366430758002,4.587353421302173,-27.406075166154373,4.583492063492063,-27.39903483588775,0.6333333333333333
115,115,0.90630778703665,-0.4226182617406993,4.604837692752091,-27.4116399364214,4.650521541950114,-27.393389940610767,0.6388888888888888
116,116,0.8987940462991669,-0.4383711467890775,4.622303783999811,-27.40960715278791,4.67501133786848,-27.400581129504754,0.6444444444444445
117,117,0.8910065241883679,-0.4539904997395467,4.639763214489783,-27.399975722490478,4.644535147392291,-27.392842155466607,0.65
118,118,0.8829475928589269,-0.4694715627858909,4.657227312473614,-27.38274770564751,4.733560090702948,-27.371695510156982,0.6555555555555556
119,119,0.8746197071393959,-0.484809620246337,4.674707247552583,-27.35792830601916,4.751655328798185,-27.347365761526166,0.6611111111111111
120,120,0.8660254037844387,-0.4999999999999998,4.692214060882194,-27.325525864444977,4.725442176870748,-27.314237976888084,0.6666666666666666
121,121,0.8571673007021123,-0.5150380749100543,4.7097586932632005,-27.28555185486571,4.708072562358276,-27.276932398553807,0.6722222222222223
122,122,0.8480480961564261,-0.5299192642332048,4.72735201130247,-27.23802088286249,4.76344671201814,-27.231016767575166,0.6777777777777778
123,123,0.8386705679454239,-0.5446390350150271,4.745004831790288,-27.18295068668354,4.713106575963718,-27.17239584769391,0.6833333333333333
124,124,0.8290375725550417,-0.5591929034707467,4.762727944405521,-27.12036214075297,4.762766439909297,-27.108349323794656,0.6888888888888889
125,125,0.8191520442889917,-0.5735764363510462,4.780532132826367,-27.05027926168736,4.827301587301587,-27.041554504095917,0.6944444444444444
126,126,0.8090169943749475,-0.587785252292473,4.798428194291864,-26.972729216872768,4.812290249433106,-26.96086407915119,0.7
127,127,0.7986355100472927,-0.6018150231520484,4.816426957626112,-26.887742335682898,4.863174603174603,-26.87427942806285,0.7055555555555556
128,128,0.788010753606722,-0.6156614753256583,4.834539299702442,-26.79535212344655,4.932426303854874,-26.784094577922797,0.7111111111111111
129,129,0.777145961456971,-0.6293203910498373,4.852776160290521,-26.69559527830324,4.834557823129251,-26.68847949922332,0.7166666666666667
130,130,0.766044443118978,-0.6427876096865394,4.871148555189596,-26.58851171111288,4.880362811791382,-26.575278025691222,0.7222222222222222
131,131,0.7547095802227721,-0.6560590289905072,4.889667587509857,-26.47414456861916,4.874739229024943,-26.46637882977022,0.7277777777777777
132,132,0.7431448254773942,-0.6691306063588582,4.908344456918206,-26.35254026009789,4.839002267573696,-26.343870147577743,0.7333333333333333
133,133,0.7313537016191706,-0.6819983600624984,4.927190466612311,-26.22374848775599,4.861133786848072,-26.213955392008184,0.7388888888888889
134,134,0.7193398003386511,-0.6946583704589974,4.94621702772931,-26.087822281186785,5.034058956916099,-26.075344860999294,0.7444444444444445
135,135,0.7071067811865476,-0.7071067811865475,4.965435660828985,-25.944818036223936,4.9184126984126975,-25.932650904799445,0.75
136,136,0.6946583704589971,-0.7193398003386512,4.984857994016096,-25.79479555858393,5.035555555555555,-25.786673324016583,0.7555555555555555
137,137,0.6819983600624986,-0.7313537016191705,5.004495757178807,-25.637818112732145,5.10798185941043,-25.627751861259643,0.7611111111111111
138,138,0.6691306063588583,-0.743144825477394,5.024360771722595,-25.47395247646021,5.120362811791384,-25.45362001145825,0.7666666666666667
139,139,0.6560590289905073,-0.754709580222772,5.044464935060912,-25.303269001719134,5.010975056689342,-25.295986884400914,0.7722222222222223
140,140,0.6427876096865395,-0.7660444431189779,5.064820198994347,-25.12584168231504,5.036780045351473,-25.11536176386484,0.7777777777777778
141,141,0.6293203910498374,-0.7771459614569709,5.085438540954015,-24.94174822914319,5.0463492063492055,-24.93137242204785,0.7833333333333333
142,142,0.6156614753256584,-0.7880107536067219,5.106331926909806,-24.751070153709858,5.165941043083899,-24.73963750896208,0.7888888888888889
143,143,0.6018150231520482,-0.7986355100472929,5.127512264538121,-24.55389286077576,5.181678004535147,-24.545031345348956,0.7944444444444444
144,144,0.5877852522924732,-0.8090169943749473,5.148991345008942,-24.350305751046147,5.1000907029478455,-24.340231437776566,0.8
145,145,0.5735764363510459,-0.8191520442889919,5.170780771479564,-24.140402334931952,5.124807256235828,-24.131953359921805,0.8055555555555556
146,146,0.5591929034707469,-0.8290375725550416,5.192891872069737,-23.92428035851886,5.195374149659862,-23.913408868977,0.8111111111111111
147,147,0.5446390350150273,-0.8386705679454239,5.215335594734762,-23.702041943003813,5.181995464852608,-23.69646131893106,0.8166666666666667
148,148,0.5299192642332049,-0.848048096156426,5.238122381041403,-23.47379373899187,5.20344671201814,-23.465658221254618,0.8222222222222222
149,149,0.5150380749100544,-0.8571673007021122,5.261262015383624,-23.23964709720037,5.203537414965986,-23.23252643220117,0.8277777777777777
150,150,0.4999999999999999,-0.8660254037844387,5.284763445641287,-22.99971825727763,5.289297052154194,-22.99304491958105,0.8333333333333334
151,151,0.4848096202463371,-0.8746197071393957,5.308634570682452,-22.75412855663215,5.288480725623582,-22.74616331989806,0.8388888888888889
152,152,0.4694715627858907,-0.882947592858927,5.332881989428526,-22.503004661369125,5.319183673469388,-22.496404228712063,0.8444444444444444
153,153,0.4539904997395468,-0.8910065241883678,5.357510705439681,-22.24647882166151,5.427709750566894,-22.23788532077898,0.85
154,154,0.4383711467890773,-0.898794046299167,5.382523780129375,-21.98468915413496,5.37437641723356,-21.976627191429547,0.8555555555555555
155,155,0.4226182617406995,-0.90630778703665,5.407921926775613,-21.71777995413881,5.29532879818594,-21.709181463241706,0.8611111111111112
156,156,0.4067366430758004,-0.9135454576426008,5.433703036462912,-21.445902041098478,5.4197278911564615,-21.43890597848154,0.8666666666666667
157,157,0.3907311284892737,-0.9205048534524404,5.459861625964297,-21.169213140526946,5.459229024943311,-21.16194668576,0.8722222222222222
